Ref,Val,Package,PosX,PosY,Rot,Side
"DL1","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",211.931250,-109.537500,180.000000,bottom
"DL2","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",211.931250,-133.350000,180.000000,bottom
"DL3","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",211.931250,-152.400000,180.000000,bottom
"DL4","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",211.931250,-171.450000,180.000000,bottom
"DL5","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",161.925000,-101.600000,180.000000,bottom
"DL6","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",123.825000,-101.600000,180.000000,bottom
"J2","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",180.975000,-168.920000,180.000000,bottom
"J3","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",188.118750,-168.910000,180.000000,bottom
"SW2","Alps EM11","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm",148.220000,-170.220000,180.000000,bottom
"SW3","BournsEM14","BournsEM14",142.875000,-173.831250,180.000000,bottom
"C1","22u","C_1206_3216Metric",218.821000,-122.428000,-90.000000,top
"C2","22u","C_1206_3216Metric",205.562200,-124.739400,-90.000000,top
"C3","100n","C_0402_1005Metric",205.232000,-141.452600,0.000000,top
"C4","100n","C_0402_1005Metric",214.658000,-141.452600,0.000000,top
"C5","100n","C_0402_1005Metric",106.019600,-180.797200,0.000000,top
"C6","100n","C_0402_1005Metric",116.840000,-184.607200,-90.000000,top
"C7","100n","C_0402_1005Metric",104.902000,-195.961000,180.000000,top
"C8","100n","C_0402_1005Metric",114.300000,-195.707000,-90.000000,top
"C9","100n","C_0402_1005Metric",101.854000,-184.150000,180.000000,top
"C10","10u","C_0805_2012Metric",120.650000,-195.834000,0.000000,top
"C11","4.7u","C_0402_1005Metric",112.776000,-196.215000,180.000000,top
"C12","100n","C_0402_1005Metric",102.209600,-188.163200,-90.000000,top
"C13","4.7u","C_0402_1005Metric",102.209600,-190.144400,-90.000000,top
"C14","10n","C_0402_1005Metric",101.193600,-190.144400,-90.000000,top
"C15","10p","C_0402_1005Metric",96.012000,-183.007000,90.000000,top
"C16","10p","C_0402_1005Metric",97.790000,-189.611000,-90.000000,top
"C17","10u","C_0805_2012Metric",143.002000,-182.372000,180.000000,top
"C18","22n","C_0805_2012Metric",126.238000,-185.293000,0.000000,top
"C19","22n","C_0805_2012Metric",130.683000,-181.991000,0.000000,top
"D1","SM4007","D_SOD-123F",186.182000,-100.711000,0.000000,top
"D2","SM4007","D_SOD-123F",189.280800,-135.280400,90.000000,top
"D4","SM4007","D_SOD-123F",222.605600,-216.001600,90.000000,top
"D5","SM4007","D_SOD-123F",162.052000,-105.410000,0.000000,top
"D6","SM4007","D_SOD-123F",170.180000,-135.178800,90.000000,top
"D8","SM4007","D_SOD-123F",198.932800,-216.052400,90.000000,top
"D9","SM4007","D_SOD-123F",143.002000,-105.537000,0.000000,top
"D10","SM4007","D_SOD-123F",151.180800,-135.280400,90.000000,top
"D11","SM4007","D_SOD-123F",125.803200,-176.733200,0.000000,top
"D12","SM4007","D_SOD-123F",159.969200,-222.402400,0.000000,top
"D13","SM4007","D_SOD-123F",123.698000,-105.537000,0.000000,top
"D14","SM4007","D_SOD-123F",132.080000,-135.229600,90.000000,top
"D16","SM4007","D_SOD-123F",137.007600,-216.103200,90.000000,top
"D17","SM4007","D_SOD-123F",108.254800,-111.404400,90.000000,top
"D18","SM4007","D_SOD-123F",113.030000,-135.229600,90.000000,top
"D20","SM4007","D_SOD-123F",113.131600,-216.052400,90.000000,top
"DP1","SMF9.0CA","D_SOD-123_Bidirectional",222.885000,-103.886000,90.000000,top
"F1","ASMD1206-150","Fuse_1206_3216Metric",219.202000,-100.838000,-90.000000,top
"J1","TYPE-C-31-M12_13","TYPE-C-31-M-12",211.582000,-104.960500,180.000000,top
"K1","1u","MX100H",185.737500,-109.537500,0.000000,top
"K2","1u","MX100H",180.975000,-133.350000,0.000000,top
"K4","1u","MX100H",214.312500,-214.312500,0.000000,top
"K5","1u","MX100H",161.925000,-114.300000,0.000000,top
"K6","1u","MX100H",161.925000,-133.350000,0.000000,top
"K8","1u","MX100H",190.500000,-214.312500,0.000000,top
"K9","1u","MX100H",142.875000,-114.300000,0.000000,top
"K10","1u","MX100H",142.875000,-133.350000,0.000000,top
"K12","2.25u","MX225HR",159.543750,-214.312500,0.000000,top
"K13","1u","MX100H",123.825000,-114.300000,0.000000,top
"K14","1u","MX100H",123.825000,-133.350000,0.000000,top
"K16","1u","MX100H",128.587500,-214.312500,0.000000,top
"K17","1u","MX100H",100.012500,-109.537500,0.000000,top
"K18","1u","MX100H",104.775000,-133.350000,0.000000,top
"K20","1u","MX100H",104.775000,-214.312500,0.000000,top
"L1","60R@100MHz","L_1206_3216Metric",218.236800,-106.680000,90.000000,top
"R1","5.1k","R_0805_2012Metric",214.782400,-109.169200,-90.000000,top
"R2","5.1k","R_0805_2012Metric",208.635600,-109.118400,-90.000000,top
"R3","10k","R_0805_2012Metric",215.114500,-143.637000,180.000000,top
"R4","10k","R_0805_2012Metric",183.261000,-181.483000,180.000000,top
"R5","1k","R_0805_2012Metric",124.510800,-182.219600,90.000000,top
"R6","1k","R_0805_2012Metric",127.863600,-182.219600,90.000000,top
"R7","10k","R_0402_1005Metric",110.871000,-196.215000,0.000000,top
"SW1","SW_BOOT","SW_SPDT_PCM12",183.356250,-188.118750,0.000000,top
"TH1","jlcpcb_tooling","jlcpcb_tooling",220.980000,-202.184000,0.000000,top
"TH2","jlcpcb_tooling","jlcpcb_tooling",112.014000,-100.838000,0.000000,top
"U1","TPD4E05U06DQAR","USON-10_2.5x1.0mm_P0.5mm",211.582000,-106.371200,90.000000,top
"U2","TXS0101DBVR","SOT-23-6",209.729700,-142.367000,0.000000,top
"U3","STM32F401RCTx","LQFP-64_10x10mm_P0.5mm",109.537500,-188.118750,0.000000,top
"U4","AMS1117-3.3","SOT-223-3_TabPin2",212.090000,-123.190000,180.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",96.871000,-186.294000,-90.000000,top
